Bank,Category,Metric,Unit,Year,Value
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2019,258368
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2018,226364
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2017,200206
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2016,160132.62
IFIC Bank,BALANCE SHEET,Total Deposits,Tk mn,2015,146848.21
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2025,5658.3
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2024,31045.4
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2023,36125.3
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2022,33609
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2021,30236.31
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2020,25217
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2019,24597
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2018,22116
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2017,20539
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2016,13922.4
IFIC Bank,BALANCE SHEET,Shareholders' Equity,Tk mn,2015,12370.38
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2025,-22094.7
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2024,2733.6
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2023,8377
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2022,8099
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2021,7165
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2020,2864
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2019,6398
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2018,4560
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2017,5492
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2016,4405.43
IFIC Bank,INCOME STATEMENT,Net Interest Income,Tk mn,2015,3774.51
IFIC Bank,INCOME STATEMENT,Non-Interest Income,Tk mn,2025,10182.5
